,PASSENGERS,Passenger Miles,CARRIER_NAME-ORIGIN_CITY_NAME-DEST_CITY_NAME
176,416319,138217908,"Delta Air Lines Inc.-Memphis, TN-Atlanta, GA Total Total"
177,415590,498554706,"United Air Lines Inc.-Washington, DC-Houston, TX Total Total"
178,415002,326606574,"Southwest Airlines Co.-Orlando, FL-Baltimore, MD Total Total"
179,414464,359340288,"Alaska Airlines Inc.-Las Vegas, NV-Seattle, WA Total Total"
180,413275,325247425,"Southwest Airlines Co.-Baltimore, MD-Orlando, FL Total Total"
181,411321,631377735,"Delta Air Lines Inc.-Minneapolis, MN-Los Angeles, CA Total Total"
182,409698,106111782,"Delta Air Lines Inc.-Charleston, SC-Atlanta, GA Total Total"
183,407483,303982318,"Delta Air Lines Inc.-Atlanta, GA-Newark, NJ Total Total"
184,406257,2782454193,"Emirates-Dubai, United Arab Emirates-New York, NY Total Total"
185,405438,105008442,"Delta Air Lines Inc.-Atlanta, GA-Charleston, SC Total Total"
186,404051,104245158,"Southwest Airlines Co.-Las Vegas, NV-San Diego, CA Total Total"
187,403418,619246630,"Delta Air Lines Inc.-Los Angeles, CA-Minneapolis, MN Total Total"
188,402984,300626064,"Delta Air Lines Inc.-Newark, NJ-Atlanta, GA Total Total"
189,402911,440479080,"Delta Air Lines Inc.-New York, NY-Miami, FL Total Total"
190,402624,103876992,"Southwest Airlines Co.-San Diego, CA-Las Vegas, NV Total Total"
191,401677,130545025,"Southwest Airlines Co.-Oakland, CA-Burbank, CA Total Total"
192,400845,173165040,"Delta Air Lines Inc.-Indianapolis, IN-Atlanta, GA Total Total"
193,399227,129748775,"Southwest Airlines Co.-Burbank, CA-Oakland, CA Total Total"
194,398841,172299312,"Delta Air Lines Inc.-Atlanta, GA-Indianapolis, IN Total Total"
195,398314,1374581614,"Virgin Atlantic Airways-London, United Kingdom-New York, NY Total Total"
196,395996,93455056,"Southwest Airlines Co.-Los Angeles, CA-Las Vegas, NV Total Total"
197,395861,432793020,"Delta Air Lines Inc.-Miami, FL-New York, NY Total Total"
198,395080,412858600,"American Airlines Inc.-San Juan, PR-Miami, FL Total Total"
199,395035,552653965,"Delta Air Lines Inc.-Minneapolis, MN-Seattle, WA Total Total"
200,394699,288524969,"American Airlines Inc.-Atlanta, GA-Dallas/Fort Worth, TX Total Total"
201,393755,92926180,"Southwest Airlines Co.-Las Vegas, NV-Los Angeles, CA Total Total"
202,391701,2682760149,"Emirates-New York, NY-Dubai, United Arab Emirates Total Total"
203,391519,337489378,"United Air Lines Inc.-Denver, CO-Los Angeles, CA Total Total"
204,391361,337353182,"United Air Lines Inc.-Los Angeles, CA-Denver, CO Total Total"
205,390237,285263247,"American Airlines Inc.-Dallas/Fort Worth, TX-Atlanta, GA Total Total"
206,390049,1346059099,"Virgin Atlantic Airways-New York, NY-London, United Kingdom Total Total"
207,389492,348595340,"Southwest Airlines Co.-Chicago, IL-Denver, CO Total Total"
208,388197,405665865,"American Airlines Inc.-Miami, FL-San Juan, PR Total Total"
209,388071,268544516,"Delta Air Lines Inc.-Atlanta, GA-Kansas City, MO Total Total"
210,388047,186650607,"Delta Air Lines Inc.-Richmond, VA-Atlanta, GA Total Total"
211,386783,172505218,"Southwest Airlines Co.-San Diego, CA-Oakland, CA Total Total"
212,386726,370096782,"Delta Air Lines Inc.-Detroit, MI-Orlando, FL Total Total"
213,385490,186577160,"Delta Air Lines Inc.-St. Louis, MO-Atlanta, GA Total Total"
214,385332,484747656,"American Airlines Inc.-Miami, FL-Boston, MA Total Total"
215,384983,560199828,"United Air Lines Inc.-Denver, CO-Washington, DC Total Total"
216,384205,265869860,"Delta Air Lines Inc.-Kansas City, MO-Atlanta, GA Total Total"
217,384185,537474764,"Delta Air Lines Inc.-Seattle, WA-Minneapolis, MN Total Total"
218,384169,184785289,"Delta Air Lines Inc.-Atlanta, GA-Richmond, VA Total Total"
219,384009,185859149,"Delta Air Lines Inc.-Atlanta, GA-St. Louis, MO Total Total"
220,383748,558441624,"United Air Lines Inc.-Washington, DC-Denver, CO Total Total"
221,383021,947976975,"JetBlue Airways-Los Angeles, CA-New York, NY Total Total"
222,381665,365253405,"Delta Air Lines Inc.-Orlando, FL-Detroit, MI Total Total"
223,380623,340657585,"Southwest Airlines Co.-Denver, CO-Chicago, IL Total Total"
224,380205,324695070,"United Air Lines Inc.-Orlando, FL-Houston, TX Total Total"
225,378939,937874025,"JetBlue Airways-New York, NY-Los Angeles, CA Total Total"
226,378702,127622574,"Southwest Airlines Co.-Los Angeles, CA-Oakland, CA Total Total"
227,378683,387141216,"Delta Air Lines Inc.-New York, NY-Minneapolis, MN Total Total"
228,378302,386732886,"Delta Air Lines Inc.-Minneapolis, MN-New York, NY Total Total"
229,377267,50553778,"Delta Air Lines Inc.-Birmingham, AL-Atlanta, GA Total Total"
230,376549,167940854,"Southwest Airlines Co.-Oakland, CA-San Diego, CA Total Total"
231,376464,126868368,"Southwest Airlines Co.-Oakland, CA-Los Angeles, CA Total Total"
232,375878,472854524,"American Airlines Inc.-Boston, MA-Miami, FL Total Total"
233,375853,1016306512,"United Air Lines Inc.-San Francisco, CA-Boston, MA Total Total"
234,375072,95643360,"Southwest Airlines Co.-Las Vegas, NV-Phoenix, AZ Total Total"
235,374385,926601423,"American Airlines Inc.-Los Angeles, CA-New York, NY Total Total"
236,374141,925996743,"American Airlines Inc.-New York, NY-Los Angeles, CA Total Total"
237,373568,113564672,"Southwest Airlines Co.-San Diego, CA-Phoenix, AZ Total Total"
238,373362,318851148,"United Air Lines Inc.-Houston, TX-Orlando, FL Total Total"
239,372913,125671681,"Virgin America-Los Angeles, CA-San Francisco, CA Total Total"
240,372369,383924194,"JetBlue Airways-New York, NY-West Palm Beach/Palm Beach, FL Total Total"
241,372110,49862740,"Delta Air Lines Inc.-Atlanta, GA-Birmingham, AL Total Total"
242,371764,153910296,"United Air Lines Inc.-Las Vegas, NV-San Francisco, CA Total Total"
243,371688,94780440,"Southwest Airlines Co.-Phoenix, AZ-Las Vegas, NV Total Total"
244,371152,1003595008,"United Air Lines Inc.-Boston, MA-San Francisco, CA Total Total"
245,370477,381956083,"JetBlue Airways-West Palm Beach/Palm Beach, FL-New York, NY Total Total"
246,369669,190749204,"Delta Air Lines Inc.-Atlanta, GA-Norfolk, VA Total Total"
247,368215,78798010,"Delta Air Lines Inc.-Atlanta, GA-Savannah, GA Total Total"
248,367855,111827920,"Southwest Airlines Co.-Phoenix, AZ-San Diego, CA Total Total"
249,367226,193895328,"Delta Air Lines Inc.-Minneapolis, MN-Detroit, MI Total Total"
250,366632,572679184,"American Airlines Inc.-Dallas/Fort Worth, TX-Boston, MA Total Total"
251,366588,67817316,"Delta Air Lines Inc.-New York, NY-Boston, MA Total Total"
252,366532,216253880,"Delta Air Lines Inc.-Salt Lake City, UT-Los Angeles, CA Total Total"
253,365953,78313942,"Delta Air Lines Inc.-Savannah, GA-Atlanta, GA Total Total"
254,364842,569883204,"American Airlines Inc.-Boston, MA-Dallas/Fort Worth, TX Total Total"
255,364833,361184670,"Southwest Airlines Co.-Orlando, FL-Chicago, IL Total Total"
256,364583,360937170,"Southwest Airlines Co.-Chicago, IL-Orlando, FL Total Total"
257,364293,67396530,"Delta Air Lines Inc.-Boston, MA-New York, NY Total Total"
258,363720,187679520,"Delta Air Lines Inc.-Norfolk, VA-Atlanta, GA Total Total"
259,363550,687836600,"Delta Air Lines Inc.-San Diego, CA-Atlanta, GA Total Total"
260,363197,162349059,"Delta Air Lines Inc.-Atlanta, GA-Columbus, OH Total Total"
261,362913,197056686,"US Airways Inc.-Charlotte, NC-New York, NY Total Total"
262,362842,122277754,"Virgin America-San Francisco, CA-Los Angeles, CA Total Total"
263,362559,191431152,"Delta Air Lines Inc.-Detroit, MI-Minneapolis, MN Total Total"
264,362459,829310056,"United Air Lines Inc.-Los Angeles, CA-Washington, DC Total Total"
265,361394,826876809,"United Air Lines Inc.-Washington, DC-Los Angeles, CA Total Total"
266,361000,293493000,"Delta Air Lines Inc.-Atlanta, GA-Austin, TX Total Total"
267,360128,314751872,"Delta Air Lines Inc.-Atlanta, GA-San Antonio, TX Total Total"
268,360041,160938327,"Delta Air Lines Inc.-Columbus, OH-Atlanta, GA Total Total"
269,359934,680995128,"Delta Air Lines Inc.-Atlanta, GA-San Diego, CA Total Total"
270,357740,466135220,"American Airlines Inc.-Philadelphia, PA-Dallas/Fort Worth, TX Total Total"
271,357062,515597528,"Southwest Airlines Co.-Chicago, IL-Phoenix, AZ Total Total"
272,356800,290078400,"Delta Air Lines Inc.-Austin, TX-Atlanta, GA Total Total"
273,355799,310968326,"Delta Air Lines Inc.-San Antonio, TX-Atlanta, GA Total Total"
