"PASSENGERS","UNIQUE_CARRIER","ORIGIN_AIRPORT_ID","ORIGIN","DEST_AIRPORT_ID","DEST",
0.00,"KAQ",11193,"CVG",12938,"LEJ",
0.00,"KAQ",12143,"HKG",10299,"ANC",
0.00,"KAQ",12143,"HKG",11193,"CVG",
0.00,"KAQ",12264,"IAD",12938,"LEJ",
0.00,"KAQ",12266,"IAH",12395,"IST",
0.00,"KAQ",12277,"ICN",10299,"ANC",
0.00,"KAQ",12277,"ICN",12892,"LAX",
0.00,"KAQ",12395,"IST",12478,"JFK",
0.00,"KAQ",12395,"IST",13930,"ORD",
0.00,"KAQ",12478,"JFK",12395,"IST",
0.00,"KAQ",12478,"JFK",12957,"LGG",
0.00,"KAQ",12478,"JFK",15258,"TLV",
0.00,"KAQ",12938,"LEJ",11193,"CVG",
0.00,"KAQ",12957,"LGG",12478,"JFK",
0.00,"KAQ",13303,"MIA",14717,"SCL",
0.00,"KAQ",13930,"ORD",12395,"IST",
0.00,"KAQ",13930,"ORD",16085,"YHZ",
0.00,"KAQ",13957,"OST",12478,"JFK",
0.00,"KAQ",14309,"PVG",10299,"ANC",
0.00,"KAQ",14717,"SCL",13303,"MIA",
0.00,"KAQ",14771,"SFO",12277,"ICN",
0.00,"KAQ",14918,"SNN",10397,"ATL",
0.00,"KAQ",14918,"SNN",12478,"JFK",
0.00,"KAQ",14918,"SNN",13930,"ORD",
0.00,"KAQ",15567,"VCP",13303,"MIA",
0.00,"KAQ",15868,"WUH",10299,"ANC",
0.00,"KAQ",16085,"YHZ",12478,"JFK",
0.00,"1BQ",11868,"GCM",13303,"MIA",
0.00,"1BQ",13180,"MBJ",13303,"MIA",
0.00,"1BQ",13303,"MIA",11868,"GCM",
0.00,"1BQ",13303,"MIA",12986,"LIM",
0.00,"1BQ",13303,"MIA",13180,"MBJ",
0.00,"1BQ",13303,"MIA",16271,"YYZ",
0.00,"1BQ",16271,"YYZ",13303,"MIA",
0.00,"1YQ",14843,"SJU",11519,"EIS",
0.00,"9S",11193,"CVG",10480,"BAH",
0.00,"9S",11193,"CVG",12277,"ICN",
0.00,"9S",12143,"HKG",10299,"ANC",
0.00,"9S",12143,"HKG",11193,"CVG",
0.00,"9S",12143,"HKG",12892,"LAX",
0.00,"9S",12892,"LAX",12938,"LEJ",
0.00,"9S",13342,"MKE",16232,"YWG",
0.00,"9S",14838,"SJO",13061,"LRD",
0.00,"9S",16232,"YWG",11193,"CVG",
0.00,"9S",16232,"YWG",13342,"MKE",
0.00,"FX",10792,"BUF",16149,"YOW",
0.00,"FX",11637,"FAR",16232,"YWG",
0.00,"FX",12339,"IND",16128,"YMX",
0.00,"FX",12339,"IND",16271,"YYZ",
0.00,"FX",13244,"MEM",16042,"YEG",
0.00,"FX",13244,"MEM",16128,"YMX",
0.00,"FX",13244,"MEM",16229,"YVR",
0.00,"FX",13244,"MEM",16232,"YWG",
0.00,"FX",13244,"MEM",16257,"YYC",
