Latitude_x,Longitude_x,Latitude_y,Longitude_y,cumsum_proportion
25.79,-80.29,-33.39,-70.79,0.165207
37.62,-122.38,49.19,-123.18,0.16548
40.78,-73.87,43.68,-79.63,0.165753
19.44,-99.07,33.64,-84.43,0.166026
28.43,-81.31,51.15,-0.19,0.166299
41.28,28.75,40.64,-73.78,0.166571
41.98,-87.9,51.47,-0.46,0.166844
21.04,-86.88,44.88,-93.22,0.167116
29.98,-95.34,9.99,-84.21,0.167388
52.31,4.76,33.64,-84.43,0.16766
25.04,-77.47,33.64,-84.43,0.167932
33.64,-84.43,19.44,-99.07,0.168203
44.88,-93.22,52.31,4.76,0.168474
40.64,-73.78,40.08,116.58,0.168745
49.01,2.55,33.64,-84.43,0.169015
40.64,-73.78,31.14,121.81,0.169285
33.64,-84.43,51.47,-0.46,0.169555
33.94,-118.41,50.03,8.57,0.169825
33.94,-118.41,51.47,-0.46,0.170095
43.68,-79.63,26.54,-81.76,0.170365
18.43,-69.67,40.64,-73.78,0.170635
41.98,-87.9,21.04,-86.88,0.170902
13.48,144.8,37.47,126.45,0.171169
41.8,12.24,40.64,-73.78,0.171437
21.04,-86.88,41.98,-87.9,0.171704
40.64,-73.78,4.7,-74.15,0.171971
42.36,-71.01,51.47,-0.46,0.172238
35.21,-80.94,51.47,-0.46,0.172505
25.25,55.36,37.62,-122.38,0.172772
18.5,-77.91,33.64,-84.43,0.173038
33.64,-84.43,49.01,2.55,0.173304
37.47,126.45,40.64,-73.78,0.17357
-33.39,-70.79,25.79,-80.29,0.173836
41.98,-87.9,53.42,-6.27,0.174102
19.44,-99.07,32.9,-97.04,0.174367
40.08,116.58,40.64,-73.78,0.174631
37.47,126.45,13.48,144.8,0.174896
40.78,-73.87,43.68,-79.63,0.175161
25.79,-80.29,-23.44,-46.47,0.175425
33.64,-84.43,18.5,-77.91,0.175689
13.44,-89.06,29.98,-95.34,0.175952
33.94,-118.41,49.01,2.55,0.176215
33.94,-118.41,31.14,121.81,0.176478
52.31,4.76,33.64,-84.43,0.17674
23.15,-109.72,32.9,-97.04,0.177001
18.57,-68.36,33.64,-84.43,0.177263
40.64,-73.78,40.08,116.58,0.177525
25.79,-80.29,-22.81,-43.25,0.177786
33.64,-84.43,49.01,2.55,0.178047
40.64,-73.78,4.7,-74.15,0.178308
40.47,-3.56,25.79,-80.29,0.178569
21.04,-86.88,41.98,-87.9,0.17883
52.31,4.76,44.88,-93.22,0.179091
50.03,8.57,33.94,-118.41,0.179352
32.9,-97.04,20.68,-105.25,0.179612
41.98,-87.9,21.04,-86.88,0.179872
52.31,4.76,40.64,-73.78,0.180131
41.98,-87.9,43.68,-79.63,0.180391
33.94,-118.41,-37.01,174.79,0.18065
50.03,8.57,40.64,-73.78,0.180909
33.94,-118.41,-33.95,151.18,0.181168
33.64,-84.43,18.57,-68.36,0.181426
31.14,121.81,33.94,-118.41,0.181684
49.19,-123.18,37.62,-122.38,0.181942
33.64,-84.43,25.04,-77.47,0.1822
31.14,121.81,37.62,-122.38,0.182458
43.68,-79.63,27.98,-82.53,0.182716
33.64,-84.43,18.57,-68.36,0.182973
51.47,-0.46,37.62,-122.38,0.183229
41.8,12.24,40.64,-73.78,0.183486
33.64,-84.43,49.01,2.55,0.183742
-33.39,-70.79,25.79,-80.29,0.183997
21.04,-86.88,35.21,-80.94,0.184253
40.47,-3.56,40.64,-73.78,0.184509
40.69,-74.17,43.63,-79.4,0.184764
28.43,-81.31,45.47,-73.74,0.18502
49.01,2.55,33.64,-84.43,0.185275
25.25,55.36,37.62,-122.38,0.18553
43.68,-79.63,36.08,-115.15,0.185785
40.78,-73.87,45.47,-73.74,0.186039
40.64,-73.78,32.01,34.89,0.186293
26.07,-80.15,22.99,-82.41,0.186547
37.62,-122.38,51.47,-0.46,0.186801
33.94,-118.41,51.47,-0.46,0.187055
33.94,-118.41,9.07,-79.38,0.187309
14.51,121.02,37.62,-122.38,0.187562
25.25,55.36,33.94,-118.41,0.187815
36.08,-115.15,43.68,-79.63,0.188068
40.64,-73.78,40.47,-3.56,0.188321
25.79,-80.29,47.46,8.55,0.188574
50.03,8.57,33.94,-118.41,0.188826
43.68,-79.63,40.78,-73.87,0.189079
21.04,-86.88,44.88,-93.22,0.189331
44.88,-93.22,21.04,-86.88,0.189583
38.94,-77.46,51.47,-0.46,0.189835
33.43,-112.01,51.11,-114.02,0.190087
32.9,-97.04,23.15,-109.72,0.190338
-12.02,-77.11,25.79,-80.29,0.19059
43.68,-79.63,28.43,-81.31,0.190841
37.62,-122.38,51.47,-0.46,0.191092
25.79,-80.29,47.46,8.55,0.191344
18.58,-72.29,25.79,-80.29,0.191595
43.68,-79.63,25.79,-80.29,0.191846
52.31,4.76,44.88,-93.22,0.192096
49.01,2.55,33.64,-84.43,0.192346
18.57,-68.36,25.79,-80.29,0.192596
49.19,-123.18,33.94,-118.41,0.192846
-37.01,174.79,33.94,-118.41,0.193095
33.94,-118.41,49.19,-123.18,0.193345
28.43,-81.31,43.68,-79.63,0.193594
40.64,-73.78,18.43,-69.67,0.193843
33.83,-116.51,51.11,-114.02,0.194092
4.7,-74.15,40.64,-73.78,0.194341
18.57,-68.36,25.79,-80.29,0.19459
12.5,-70.02,42.36,-71.01,0.194839
51.11,-114.02,33.43,-112.01,0.195087
49.01,2.55,25.79,-80.29,0.195336
51.11,-114.02,33.83,-116.51,0.195584
53.42,-6.27,40.64,-73.78,0.195833
-34.82,-58.54,25.79,-80.29,0.196081
40.64,-73.78,18.43,-69.67,0.196329
38.94,-77.46,50.03,8.57,0.196577
25.79,-80.29,-33.39,-70.79,0.196825
40.64,-73.78,9.07,-79.38,0.197072
51.47,-0.46,41.98,-87.9,0.197319
19.44,-99.07,40.64,-73.78,0.197566
44.88,-93.22,21.04,-86.88,0.197813
36.08,-115.15,43.68,-79.63,0.19806
40.64,-73.78,40.47,-3.56,0.198306
41.98,-87.9,51.47,-0.46,0.198553
25.25,55.36,40.69,-74.17,0.1988
9.99,-84.21,25.79,-80.29,0.199046
41.98,-87.9,21.04,-86.88,0.199292
45.47,-73.74,40.78,-73.87,0.199539
9.07,-79.38,40.64,-73.78,0.199785
53.42,-6.27,41.98,-87.9,0.200031
21.04,-86.88,40.64,-73.78,0.200277
42.36,-71.01,12.5,-70.02,0.200522
40.64,-73.78,25.27,51.61,0.200768
47.46,8.55,25.79,-80.29,0.201013
40.64,-73.78,52.31,4.76,0.201258
18.5,-77.91,35.21,-80.94,0.201503
37.62,-122.38,51.47,-0.46,0.201748
41.98,-87.9,50.03,8.57,0.201992
37.62,-122.38,37.47,126.45,0.202236
1.35,103.99,37.62,-122.38,0.202481
23.15,-109.72,32.9,-97.04,0.202725
25.79,-80.29,9.99,-84.21,0.202968
43.68,-79.63,36.08,-115.15,0.203212
55.97,37.41,40.64,-73.78,0.203456
40.64,-73.78,21.04,-86.88,0.2037
33.94,-118.41,20.52,-103.31,0.203944
18.57,-68.36,40.69,-74.17,0.204187
51.47,-0.46,35.21,-80.94,0.204431
40.64,-73.78,52.31,4.76,0.204674
40.64,-73.78,52.31,4.76,0.204917
25.79,-80.29,18.57,-68.36,0.205161
18.5,-77.91,35.21,-80.94,0.205404
26.54,-81.76,43.68,-79.63,0.205646
37.62,-122.38,14.51,121.02,0.205889
33.94,-118.41,-37.67,144.84,0.206131
40.64,-73.78,55.97,37.41,0.206373
24.43,54.65,40.64,-73.78,0.206615
40.64,-73.78,53.42,-6.27,0.206857
51.47,-0.46,38.94,-77.46,0.207099
